ID,Area,Priority,Preconditions,Steps,Expected Outcome,Result,BugID,Notes
S-01,Launch,High,Built UI; isDev=false,Start Electron app,Window opens without blank screen or crash,As expected,,
S-02,Launch,High,Built UI; isDev=false,Wait 60 seconds after launch,No fatal errors; UI remains responsive,As expected,,
S-03,Launch,Medium,Built UI,Open and close app 3 times,Each launch/exit completes cleanly with no hangs,As expected,,
S-04,Launch,Medium,Built UI,Launch with no internet connectivity,Core local UI loads; no crash,As expected,,
S-05,Launch,Medium,Built UI,Launch with firewall blocking localhost ports,App handles backend connection errors gracefully,As expected,,
S-06,Launch,Medium,Built UI,Minimize/restore app 10 times,UI remains responsive; no rendering artifacts,As expected,,
S-07,Launch,Low,Built UI,Resize window repeatedly,Layout remains usable; no visual corruption,As expected,,
S-08,Launch,Low,Built UI,Open DevTools if available,No app crash; UI still functional,As expected,,
B-01,Build,High,Clean npm install,Run npm run build,Build succeeds without errors,Getting warning for unused vars,B-001,
B-02,Build,High,Built UI,Launch Electron with isDev=false,Loads file://.../frontend/build/index.html without ERR_FILE_NOT_FOUND,As expected,,
B-03,Build,Medium,Built UI,Delete frontend/build; launch app,App reports missing UI gracefully (no crash),Shows white screen and in terminal it shows file not found ,B-002,
B-04,Build,Medium,Built UI,Rebuild after source change,New UI changes appear in app,As expected,,
B-05,Build,Low,Built UI,Move app folder path,App still finds build assets and runs,As expected,,
I-01,Indexing,High,Backend ready,Index small folder (10-20 files),Index completes; results appear,As expected,,
I-02,Indexing,High,Backend ready,Index large folder (1000+ files),Completes without crash; progress visible,As expected,,We have to reduce latency and make indexing faster for 2k files it is taking approx 15 mins
I-03,Indexing,High,Backend ready,"Index mixed types (pdf, docx, xlsx, txt)",All supported types indexed,As expected,,
I-04,Indexing,Medium,Backend ready,Index folder containing large PDF (100MB+),Index completes; no crash,As expected,,
I-05,Indexing,Medium,Backend ready,Index folder with permission-denied file,Index continues; error logged but no crash,Not working - it also indexes the file with password protected,B-003,we should check that if the files are sensitive we should not do the indexing and embedding of it . As it is against our policy and if user really wants we can ask permission from them that do you surely want to index the protected file
I-06,Indexing,Medium,Backend ready,Index folder with many nested subfolders,Completes; no missed deep files,As expected,,
I-07,Indexing,Medium,Backend ready,Index while CPU is busy (stress),App remains responsive; index eventually completes,As expected,,
I-08,Indexing,Medium,Backend ready,Start indexing; kill app mid-run; relaunch,No DB corruption; app recovers,As expected - but not working if we start app 2 times then auto indexing stars,,
I-09,Indexing,Medium,Backend ready,Re-index same folder,No duplicate results; incremental update,As expected,,
I-10,Indexing,Medium,Backend ready,Index after deleting files,Deleted files not returned in search,As expected,,
I-11,Indexing,Low,Backend ready,Index folder with non-UTF8 text files,No crash; files handled or skipped,As expected,,
I-12,Indexing,Low,Backend ready,Index folder with 0-byte files,No crash; 0-byte files handled,As expected,,
Q-01,Search,High,Indexed files exist,Search by exact filename,Exact match appears at/near top,As expected,,
Q-02,Search,High,Indexed files exist,Search by semantic phrase,Relevant file appears even without exact text,As expected,,
Q-03,Search,Medium,Indexed files exist,Search with 3-5 keywords,Ranking is sensible; top results relevant,As expected,,
Q-04,Search,Medium,Indexed files exist,"Search with special chars (C++, @, #)",No crash; query handled,As expected,,
Q-05,Search,Medium,Indexed files exist,Search with empty string,No crash; UI shows prompt or empty state,As expected,,
Q-06,Search,Medium,Indexed files exist,Run 20 searches in 1 minute,No UI freeze; results return,As expected,,
Q-07,Search,Low,Indexed files exist,Search for non-existent term,Returns empty state (no crash),Not working - gives vague response,B-004,
Q-08,Search,Low,Indexed files exist,"Search with date phrase (""between jan 2024 and mar 2024"")",Date filter applied; results constrained,As expected,,
Q-09,Search,Low,Indexed files exist,Search while indexing running,No crash; results still return,As expected,,
Q-10,Search,Low,Indexed files exist,Search using long query (300+ chars),No crash; query handled or trimmed,As expected,,
C-01,Chat,High,Chat backend running,Upload PDF; ask direct question,Answer matches document content,,,
C-02,Chat,High,Chat backend running,Upload DOCX; ask direct question,Answer matches document content,,,
C-03,Chat,Medium,Chat backend running,Upload XLSX; ask about a cell range,Answer uses sheet content correctly,,,
C-04,Chat,Medium,Chat backend running,Ask question not in doc,"Responds with ""not found"" or similar",,,
C-05,Chat,Medium,Chat backend running,Clear previous; upload new file; ask question,Old context not referenced,,,
C-06,Chat,Medium,Chat backend running,Multi-turn Q&A (5 turns),Context remains accurate across turns,,,
C-07,Chat,Low,Chat backend running,Upload very large PDF,Ingest completes; no crash,,,
C-08,Chat,Low,Chat backend running,Upload duplicate file,Dedup path used; no error,,,
C-09,Chat,Low,Chat backend running,Upload invalid file type,Error shown; no crash,,,
C-10,Chat,Low,Chat backend running,Chat during indexing,No crash; response returns,,,
V-01,Versioning,High,Watcher enabled,Edit text file and save,New version created,When creating a new file or something the white screen showsup in production but in backend the file is added to db but ui stucks in white screen,B-005,
V-02,Versioning,High,Watcher enabled,Save same content twice,No duplicate snapshot,,,
V-03,Versioning,Medium,Versions exist,Compare two versions,Diff appears and is correct,,,
V-04,Versioning,Medium,Versions exist,Restore older version,File content reverts correctly,,,
V-05,Versioning,Medium,Watcher enabled,Edit DOCX file,Version created without error,,,
V-06,Versioning,Medium,Watcher enabled,Edit XLSX file,Version created without error,,,
V-07,Versioning,Low,Watcher enabled,Delete file then restore from version,File restored or error handled gracefully,,,
V-08,Versioning,Low,Watcher enabled,Rename file,Version tracking follows new path,,,
W-01,Watcher,High,Watcher enabled,Create new file in watched folder,File appears in search,,,
W-02,Watcher,High,Watcher enabled,Delete file,File removed from search,,,
W-03,Watcher,Medium,Watcher enabled,Rename file,New name searchable; old path removed,,,
W-04,Watcher,Medium,Watcher enabled,Move file between folders,Search reflects new path,,,
W-05,Watcher,Medium,Watcher enabled,Edit file quickly 3-5 times,No duplicate versions or corruption,,,
W-06,Watcher,Low,Watcher enabled,Create very long file name,File handled; no crash,,,
W-07,Watcher,Low,Watcher enabled,Create file with unicode name,File handled; no crash,,,
W-08,Watcher,Low,Watcher enabled,Bulk create 100 files,Watcher handles without crash,,,
L-01,Sync LAN,High,sync/server.py running,Connect mobile on same LAN,Handshake completes,,,
L-02,Sync LAN,High,LAN connected,Create file on PC,Mobile receives change_pending,,,
L-03,Sync LAN,High,LAN connected,Approve change on mobile,File appears on mobile,,,
L-04,Sync LAN,Medium,LAN connected,Modify file on mobile,PC updates correctly,,,
L-05,Sync LAN,Medium,LAN connected,Delete file on mobile,PC deletes file,,,
L-06,Sync LAN,Medium,LAN connected,Simultaneous edit on both sides,Conflict reported,,,
L-07,Sync LAN,Low,LAN connected,Disconnect network mid-sync,Sync resumes after reconnect,,,
L-08,Sync LAN,Low,LAN connected,Large file sync (100MB+),Transfer completes; no corruption,,,
R-01,Sync Remote,High,Signaling server running,Join session from PC and mobile,Both peers joined,,,
R-02,Sync Remote,High,Remote connected,Offer/answer exchange,Signaling messages relayed successfully,,,
R-03,Sync Remote,High,Remote connected,ICE candidate exchange,Connection established reliably,,,
R-04,Sync Remote,Medium,Remote connected,Send sync messages over data channel,Sync completes,,,
R-05,Sync Remote,Medium,Remote connected,Reconnect within 5 minutes,Session resumes,,,
R-06,Sync Remote,Medium,Remote connected,Invalid session token,Server rejects with error; no crash,,,
R-07,Sync Remote,Low,Remote connected,Join 3rd peer to same session,Server enforces max peers or handles safely,,,
R-08,Sync Remote,Low,Remote connected,High latency network,Sync completes without crash,,,
SEC-01,Security,High,Watcher enabled,Attempt delete under C:\\Windows,Operation blocked,,,
SEC-02,Security,Medium,Watcher enabled,Attempt rename under Program Files,Operation blocked,,,
SEC-03,Security,Medium,App running,Try to open hidden/system files,Hidden/system files not listed,,,
SEC-04,Security,Low,Signaling server running,Use default SESSION_SECRET,Warning logged; app still runs,,,
SEC-05,Security,Low,Sync running,Inject invalid JSON on WebSocket,Server handles without crash,,,
P-01,Performance,High,Large dataset indexed,Search during indexing,UI responsive; results return,As expected,,
P-02,Performance,High,Large dataset indexed,Open 20 files quickly,No UI freeze; operations complete,As expected,,
P-03,Performance,Medium,Large dataset indexed,Run 1 hour idle,No memory leak or crash,As expected,,
P-04,Performance,Medium,Large dataset indexed,Open/close app 10 times,No crash; no zombies,As expected,,
P-05,Performance,Medium,Large dataset indexed,Index same folder 5 times,No excessive growth or duplicates,As expected,,
P-06,Performance,Low,Large dataset indexed,Chat while indexing,No crash; response returns,,,
P-07,Performance,Low,Large dataset indexed,Sync while indexing,No crash; both continue,,,
P-08,Performance,Low,Large dataset indexed,Export or read large file,No crash; operation completes,As expected,,
E-01,Recovery,High,App running,Kill python engine process,App shows error; recovers on restart,As expected,,
E-02,Recovery,High,App running,Kill chat backend process,Chat requests fail gracefully; recovers on restart,As expected,,
E-03,Recovery,Medium,App running,Force close app during indexing,No DB corruption; relaunch works,As expected,,
E-04,Recovery,Medium,App running,Corrupt a cached index file,App handles error; reindex works,As expected,,
